id,category,item_name,min_quantity,price,quantity
1,Fruit,Apple,50,0.5,150
2,Fruit,Banana,30,0.3,200
3,Vegetable,Carrot,20,0.2,100
4,Vegetable,Tomato,25,0.4,120
5,Dairy,Milk,10,1.0,50
6,Dairy,Cheese,5,2.5,30
7,Beverage,Coffee,15,5.0,70
8,Beverage,Tea,20,3.0,90
9,Bakery,Bread,25,1.5,80
10,Bakery,Donut,30,0.75,100
11,Fruit,Orange,40,0.6,130
12,Fruit,Strawberry,15,0.8,60
13,Vegetable,Spinach,10,0.3,40
14,Vegetable,Potato,50,0.5,150
15,Dairy,Butter,8,3.0,40
16,Dairy,Yogurt,20,1.2,80
17,Beverage,Juice,30,2.0,100
18,Beverage,Water,50,0.5,200
19,Bakery,Croissant,20,1.0,60
20,Bakery,Muffin,25,1.25,70
21,Fruit,Blueberry,10,1.5,50
22,Vegetable,Lettuce,20,0.5,70
23,Dairy,Ice Cream,15,2.5,40
24,Beverage,Soda,40,1.0,150
25,Bakery,Bagel,30,1.0,90
26,Household,Towel,15,3.5,60
27,Household,Shampoo,20,4.0,80
28,Household,Toothpaste,25,2.0,90
29,Household,Soap,30,1.5,100
30,Household,Detergent,10,5.0,50
31,Electronics,Phone Charger,5,15.0,25
32,Electronics,Headphones,10,25.0,30
33,Electronics,USB Cable,20,5.0,40
34,Clothing,T-Shirt,15,10.0,60
35,Clothing,Jeans,10,30.0,40
36,Clothing,Jacket,5,50.0,20
37,Clothing,Socks,25,2.0,100
38,Clothing,Hat,20,8.0,70
39,Office,Notebook,30,2.5,90
40,Office,Pen,50,1.0,200
